Timestamp_uS,Position,P,I,D,Total_Adjustment,PWM_L,PWM_R
13812732,3403,19,0,4,23,176,224
13816052,3324,35,0,3,38,161,239
13819376,3206,58,0,5,63,136,255
13822696,3128,74,0,3,77,122,255
13826008,3060,88,0,3,91,109,255
13829368,3053,89,0,0,89,111,255
13832708,3007,98,0,2,100,100,255
13836032,2942,111,0,3,114,86,255
13839336,2963,107,0,-1,106,94,255
13842672,3064,87,0,-5,82,118,255
13846024,3146,70,0,-4,66,134,255
13849360,3270,46,0,-6,40,161,239
13866016,3500,0,0,0,0,200,200
13869332,3500,0,0,0,0,200,200
13889296,3503,0,0,0,0,200,200
13892636,3505,-1,0,0,-1,201,199
13912628,3505,-1,0,0,-1,201,199
13915960,3506,-1,0,0,-1,201,199
13935940,3504,0,0,0,0,200,200
13939272,3504,0,0,0,0,200,200
13942596,3504,0,0,0,0,200,200
13959248,3502,0,0,0,0,200,200
13962584,3502,0,0,0,0,200,200
13965908,3500,0,0,0,0,200,200
13979228,3500,0,0,0,0,200,200
13982548,3473,5,0,1,6,194,206
14002464,3383,23,0,-5,18,183,217
14005788,3557,-11,0,-8,-19,220,180
14009120,3792,-58,0,-11,-69,255,130
14022420,3727,-45,0,1,-44,243,157
14025704,3800,-60,0,-3,-63,255,137
14048852,3984,-96,0,-8,-104,255,95
14052156,4075,-115,0,-4,-119,255,81
14055476,4098,-119,0,-1,-120,255,80
14072048,4283,-156,0,-4,-160,255,40
14075356,4357,-171,0,-3,-174,255,25
14078660,4413,-182,0,-2,-184,255,15
14091840,4467,-193,0,0,-193,255,8
14095128,4485,-197,0,0,-197,255,3
14098416,4474,-194,0,0,-194,255,6
14114872,4474,-194,0,0,-194,255,6
14118152,4449,-189,0,1,-188,255,12
14121444,4461,-192,0,0,-192,255,8
14137912,4220,-144,0,5,-139,255,62
14141220,4068,-113,0,7,-106,255,94
14144536,3966,-93,0,5,-88,255,112
14161068,3530,-6,0,0,-6,205,195
14164352,3523,-4,0,0,-4,204,196
14167688,3512,-2,0,0,-2,201,199
14184196,2629,174,0,14,188,12,255
14187492,2665,167,0,-1,166,35,255
14190844,2661,167,0,0,167,32,255
14204020,2433,213,0,0,213,0,255
14207316,2347,230,0,4,234,0,255
14210620,2143,271,0,10,281,0,255
14227180,1558,388,0,0,388,0,255
14230476,1564,387,0,0,387,0,255
14233828,1540,392,0,1,393,0,255
14250452,1537,392,0,0,392,0,255
14253792,1517,396,0,1,397,0,255
14257080,1521,395,0,0,395,0,255
14273708,1621,375,0,-3,372,0,255
14277012,1796,340,0,-8,332,0,255
14280320,1979,304,0,-9,295,0,255
14296872,2500,200,0,5,205,0,255
14300164,2701,159,0,-10,149,51,255
14303508,2693,161,0,0,161,39,255
14316760,3511,-2,0,-5,-7,207,193
14320044,3604,-20,0,-4,-24,225,175
14323376,3706,-41,0,-5,-46,246,154
14339956,4644,-228,0,-2,-230,255,0
14343248,4638,-227,0,0,-227,255,0
14346588,4568,-213,0,3,-210,255,0
14363212,5544,-408,0,0,-408,255,0
14366504,5544,-408,0,0,-408,255,0
14369788,5538,-407,0,0,-407,255,0
14383064,6086,-517,0,-12,-529,255,0
14386384,6310,-562,0,-11,-573,255,0
14389688,6431,-586,0,-6,-592,255,0
14409616,6500,-600,0,0,-600,255,0
14412952,6500,-600,0,0,-600,255,0
14416280,6500,-600,0,0,-600,255,0
14429524,6500,-600,0,0,-600,255,0
14432852,6500,-600,0,0,-600,255,0
14436132,6500,-600,0,0,-600,255,0
14452684,5729,-445,0,11,-434,255,0
14456012,5620,-424,0,5,-419,255,0
14459320,5506,-401,0,5,-396,255,0
14475812,5492,-398,0,0,-398,255,0
14479112,5471,-394,0,1,-393,255,0
14482420,5299,-359,0,8,-351,255,0
14495676,4487,-197,0,1,-196,255,4
14498972,4463,-192,0,1,-191,255,9
14502268,4487,-197,0,-1,-198,255,2
14518836,3542,-8,0,1,-7,207,193
14522124,3535,-7,0,0,-7,206,194
14525412,3536,-7,0,0,-7,207,193
14541960,2500,200,0,0,200,1,255
14545244,2488,202,0,0,202,0,255
14548532,2309,238,0,8,246,0,255
14568336,1397,420,0,5,425,0,255
14571644,1197,460,0,10,470,0,255
14584856,562,587,0,-3,584,0,255
14588192,488,602,0,3,605,0,255
14591532,494,601,0,0,601,0,255
14608088,500,600,0,0,600,0,255
14611364,498,600,0,0,600,0,255
14614708,498,600,0,0,600,0,255
14627932,500,600,0,0,600,0,255
14631256,500,600,0,0,600,0,255
14634580,500,600,0,0,600,0,255
14651116,500,600,0,0,600,0,255
14654392,500,600,0,0,600,0,255
14657728,619,576,0,-5,571,0,255
14680908,1499,400,0,0,400,0,255
14684196,1511,397,0,0,397,0,255
14700780,2500,200,0,-4,196,5,255
14704112,2482,203,0,0,203,0,255
14723892,3517,-3,0,-1,-4,204,196
14727184,3512,-2,0,0,-2,202,198
14747088,4505,-201,0,0,-201,255,0
14750372,4691,-238,0,-9,-247,255,0
14770256,5642,-428,0,-6,-434,255,0
14773568,6019,-503,0,-18,-521,255,0
14793468,6511,-602,0,0,-602,255,0
14796764,6518,-603,0,0,-603,255,0
14813360,6677,-635,0,-2,-637,255,0
14816668,6709,-641,0,-1,-642,255,0
14836520,6571,-614,0,1,-613,255,0
14839828,6543,-608,0,1,-607,255,0
14856296,6524,-604,0,0,-604,255,0
14859588,6512,-602,0,0,-602,255,0
14882716,5646,-429,0,16,-413,255,0
14886040,5513,-402,0,6,-396,255,0
14905848,5150,-330,0,10,-320,255,0
14909168,4756,-251,0,19,-232,255,0
14925716,4325,-165,0,6,-159,255,42
14929024,4048,-109,0,13,-96,255,105
14948820,3073,85,0,15,100,99,255
14952140,2590,182,0,24,206,0,255
14968636,1863,327,0,19,346,0,255
14971960,1525,395,0,16,411,0,255
14991840,481,603,0,10,613,0,255
14995128,500,600,0,0,600,0,255
15018400,365,627,0,2,629,0,255
15021696,295,641,0,3,644,0,255
15025004,230,654,0,3,657,0,255
15038256,132,673,0,0,673,0,255
15041564,131,673,0,0,673,0,255
15061416,443,611,0,-1,610,0,255
15064712,450,610,0,0,610,0,255
15068004,470,606,0,-1,605,0,255
15084556,494,601,0,0,601,0,255
15087848,651,569,0,-7,562,0,255
15091160,837,532,0,-9,523,0,255
15107724,1532,393,0,-1,392,0,255
15111024,1533,393,0,0,393,0,255
15114332,1560,388,0,-1,387,0,255
15130892,2493,201,0,-1,200,0,255
