Timestamp_uS,Position,P,I,D,Total_Adjustment,PWM_L,PWM_R,Est_Kp,Est_Kd
13858292,3881,-38,0,-685,-723,255,0,0.100,0.000
13861636,3895,-39,0,-25,-64,255,136,0.099,1.786
13864932,3880,-38,0,27,-11,211,189,0.100,1.800
13868284,3878,-37,0,3,-34,234,166,0.098,1.500
13871632,3891,-39,0,-23,-62,255,138,0.100,1.769
13874932,3890,-39,0,1,-38,237,163,0.100,1.000
13878232,3894,-39,0,-7,-46,246,154,0.099,1.750
13881584,3913,-41,0,-34,-75,255,125,0.099,1.789
13884932,3917,-41,0,-7,-48,248,152,0.098,1.750
13888232,3905,-40,0,21,-19,218,182,0.099,1.750
13891524,3904,-40,0,1,-39,238,162,0.099,1.000
13894884,3925,-42,0,-37,-79,255,120,0.099,1.762
13898188,3908,-40,0,30,-10,210,190,0.098,1.765
13901496,3954,-45,0,-82,-127,255,72,0.099,1.783
13904812,3895,-39,0,106,67,134,255,0.099,1.797
13908140,3856,-35,0,70,35,166,234,0.098,1.795
13921460,2939,56,0,421,477,0,255,0.100,0.459
13924808,2783,71,0,280,351,0,255,0.099,1.795
13928156,2772,72,0,19,91,108,255,0.099,1.727
13944800,2568,93,0,-9,84,116,255,0.100,-0.044
13948140,2564,93,0,7,100,100,255,0.099,1.750
13951480,2449,105,0,207,312,0,255,0.100,1.800
13968012,2480,102,0,46,148,52,255,0.100,-1.484
13971300,2493,100,0,-23,77,123,255,0.099,1.769
13974596,2535,96,0,-75,21,180,220,0.099,1.786
13991056,2557,94,0,-10,84,117,255,0.100,0.455
13994348,2563,93,0,-10,83,118,255,0.099,1.667
13997644,2514,98,0,88,186,14,255,0.099,1.796
14010816,2633,86,0,-48,38,162,238,0.099,0.403
14014108,2685,81,0,-93,-12,212,188,0.099,1.788
14017408,2768,73,0,-149,-76,255,124,0.100,1.795
14033952,3025,47,0,-129,-82,255,118,0.099,0.502
14037268,3044,45,0,-34,11,189,211,0.099,1.789
14040576,3071,42,0,-48,-6,205,195,0.098,1.778
14057124,3376,12,0,-57,-45,245,155,0.097,0.187
14060420,3424,7,0,-86,-79,255,122,0.092,1.792
14063720,3459,4,0,-63,-59,255,142,0.098,1.800
14083464,3538,-3,0,-21,-24,225,175,0.079,0.266
14086756,3518,-1,0,36,35,166,234,0.056,1.800
14106492,3518,-1,0,23,22,179,221,0.056,0.000
14109784,3524,-2,0,-10,-12,213,187,0.083,1.667
14122968,3518,-1,0,10,9,192,208,0.056,1.667
14126308,3524,-2,0,-10,-12,213,187,0.083,1.667
14129644,3524,-2,0,0,-2,202,198,0.083,0.000
14149536,3517,-1,0,0,-1,201,199,0.059,0.000
14152868,3518,-1,0,-1,-2,203,197,0.056,1.000
14172884,3517,-1,0,48,47,154,246,0.059,48.000
14176168,3506,0,0,19,19,181,219,-0.000,1.727
14196008,3564,-6,0,-36,-42,242,158,0.094,0.621
14199292,3661,-16,0,-174,-190,255,10,0.099,1.794
14215836,4081,-58,0,-108,-166,255,34,0.100,0.257
14219152,4221,-72,0,-252,-324,255,0,0.100,1.800
14238980,4315,-81,0,64,-17,216,184,0.099,-0.681
14242276,4265,-76,0,90,14,187,213,0.099,1.800
14255508,4000,-50,0,277,227,0,255,0.100,1.045
14258828,3939,-43,0,109,66,135,255,0.098,1.787
14262140,3793,-29,0,262,233,0,255,0.099,1.795
14285244,3530,-3,0,1,-2,201,199,0.100,0.004
14288540,3512,-1,0,32,31,169,231,0.083,1.778
14308280,3530,-3,0,-1,-4,204,196,0.100,0.056
14311628,3524,-2,0,10,8,192,208,0.083,1.667
14328140,3543,-4,0,-34,-38,238,162,0.093,1.789
14331428,3538,-3,0,9,6,195,205,0.079,1.800
14351204,3606,-10,0,0,-10,210,190,0.094,-0.000
14354496,3611,-11,0,-9,-20,220,180,0.099,1.800
14374236,3586,-8,0,18,10,191,209,0.093,0.720
14377528,3586,-8,0,0,-8,208,192,0.093,0.000
14393960,3550,-5,0,-12,-17,217,183,0.100,-0.333
14397252,3543,-4,0,12,8,192,208,0.093,1.714
14416984,3537,-3,0,-1,-4,205,195,0.081,-0.167
14420328,3530,-3,0,12,9,191,209,0.100,1.714
14443332,3552,-5,0,-3,-8,208,192,0.096,0.136
14446628,3550,-5,0,3,-2,201,199,0.100,1.500
14449920,3550,-5,0,0,-5,205,195,0.100,0.000
14463068,3550,-5,0,-1,-6,206,194,0.100,0.000
14466364,3557,-5,0,-12,-17,218,182,0.088,1.714
14486104,3550,-5,0,-12,-17,217,183,0.100,-1.714
14489396,3545,-4,0,9,5,196,204,0.089,1.800
14509160,3557,-5,0,-1,-6,207,193,0.088,0.083
14512456,3557,-5,0,0,-5,205,195,0.088,0.000
14515736,3535,-3,0,39,36,164,236,0.086,1.773
14532228,3540,-4,0,0,-4,204,196,0.100,-0.000
14535512,3540,-4,0,0,-4,204,196,0.100,0.000
14538804,3560,-6,0,-36,-42,242,158,0.100,1.800
14551980,3553,-5,0,-12,-17,217,183,0.094,-1.714
14555276,3552,-5,0,1,-4,203,197,0.096,1.000
14575048,3564,-6,0,3,-3,202,198,0.094,-0.250
14578344,3571,-7,0,-12,-19,219,181,0.099,1.714
14581640,3564,-6,0,12,6,194,206,0.094,1.714
14598112,3568,-6,0,-1,-7,208,192,0.088,0.250
14601420,3553,-5,0,27,22,179,221,0.094,1.800
14604712,3562,-6,0,-16,-22,222,178,0.097,1.778
14621176,3558,-5,0,-48,-53,254,146,0.086,-12.000
14624464,3538,-3,0,36,33,168,232,0.079,1.800
14627756,3534,-3,0,7,4,197,203,0.088,1.750
14644236,3518,-1,0,19,18,182,218,0.056,1.188
14647528,3518,-1,0,0,-1,201,199,0.056,0.000
14650856,3500,0,0,32,32,168,232,0.000,1.778
14667300,3359,14,0,77,91,109,255,0.099,0.546
14670608,3311,18,0,86,104,95,255,0.095,1.792
14673916,3275,22,0,64,86,113,255,0.098,1.778
14690504,3000,50,0,43,93,107,255,0.100,0.156
14693824,2948,55,0,93,148,52,255,0.100,1.788
14697144,2905,59,0,77,136,64,255,0.099,1.791
14710404,2569,93,0,180,273,0,255,0.100,0.536
14713712,2549,95,0,36,131,69,255,0.100,1.800
14717016,2524,97,0,45,142,58,255,0.099,1.800
14733496,2471,102,0,-9,93,107,255,0.099,-0.170
14736800,2448,105,0,41,146,54,255,0.100,1.783
14740096,2431,106,0,30,136,63,255,0.099,1.765
